Tire_ID,age_category,check_point_zero
GT427,0-399,360.0
GT425,0-399,360.0
MK6458,0-399,360.0
MK1533A,0-399,360.0
KH6399SEN,0-399,360.0
MK1407A,0-399,360.0
MK6488,0-399,360.0
MK6500,0-399,360.0
KR9788,0-399,360.0
GT435,0-399,360.0
KH5574A,0-399,390.0
KR8806,0-399,390.0
KR9634,0-399,390.0
KH5321A,0-399,390.0
0818KB08,0-399,390.0
KR11284,0-399,390.0
MK1451A,0-399,390.0
KR11287,0-399,390.0
AM668,0-399,390.0
MK1505A,0-399,390.0
MK6854,0-399,390.0
0818KB13,0-399,390.0
KR11283,0-399,390.0
KR9107X,0-399,390.0
0916C312,0-399,390.0
KR8836,0-399,390.0
KR9549,0-399,390.0
KR10575,0-399,390.0
0714T24,0-399,390.0
KH5577A,0-399,390.0
0818KB04,0-399,390.0
JH1816W,0-399,390.0
KH5820AW,0-399,390.0
KH5856AW,0-399,390.0
KR11289,0-399,390.0
STX19,0-399,390.0
KH6593W,0-399,390.0
KR10380,0-399,390.0
MK7056A,0-399,390.0
KR10458,0-399,390.0
MK6863,0-399,390.0
MK6797,0-399,390.0
MK6798,0-399,390.0
MK1442A,0-399,390.0
AM5050AA,0-399,390.0
MK1433A,0-399,390.0
KR9805,0-399,390.0
MK1750A,0-399,390.0
KR10481,0-399,390.0
0814T24,0-399,390.0
MK6866,0-399,390.0
MK6859,0-399,390.0
MK1419A,0-399,390.0
MK6857,0-399,390.0
JH1800W,0-399,390.0
MK6855,0-399,390.0
MK6869,0-399,390.0
AM661,0-399,390.0
AM663,0-399,390.0
MK1514A,0-399,390.0
AM630,0-399,390.0
AM631,0-399,390.0
DC4475,0-399,390.0
0814T34,0-399,390.0
MK1594A,0-399,390.0
MK1645A,0-399,390.0
KR10406,0-399,390.0
0416C303,0-399,390.0
AM655,0-399,390.0
MK1768A,0-399,390.0
MK6506,0-399,390.0
KH5485A,0-399,420.0
KH5319A,0-399,420.0
MK1457A,0-399,420.0
KH5322A,0-399,420.0
MK1453A,0-399,420.0
KH5320A,0-399,420.0
KH5318A,0-399,420.0
GT284W,0-399,420.0
MK1447A,0-399,420.0
KR10590,0-399,420.0
KR9522,0-399,420.0
KR10588,0-399,420.0
KR9534,0-399,420.0
KH5575A,0-399,420.0
MK1450A,0-399,420.0
JM2316A,0-399,420.0
MK6858,0-399,420.0
KR11290,0-399,420.0
