Episode,Timestep,Reward
1244,20,-110
1245,20,-110
1246,20,-170
1247,20,-125
1248,20,-140
1249,20,-155
1250,20,-110
1251,20,-140
1252,20,-110
1253,20,-140
1254,20,-125
1255,20,-170
1256,20,-125
1257,20,-65
1258,20,-155
1259,6,70
1260,20,-140
1261,20,-110
1262,20,-140
1263,20,-125
1264,20,-170
1265,20,-110
1266,20,-170
1267,20,-125
1268,20,-140
1269,20,-140
1270,20,-155
1271,20,-140
1272,20,-140
1273,20,-125
1274,20,-140
1275,20,-170
1276,20,-170
1277,20,-110
1278,20,-170
1279,20,-95
1280,20,-170
1281,20,-170
1282,20,-80
1283,20,-155
1284,20,-140
1285,20,-155
1286,20,-155
1287,20,-140
1288,20,-95
1289,20,-140
1290,20,-125
1291,5,95
1292,20,-125
1293,20,-155
1294,20,-125
1295,20,-140
1296,20,-155
1297,20,-155
1298,20,-95
1299,20,-110
1300,20,-125
1301,20,-125
1302,20,-110
1303,20,-125
1304,20,-110
1305,20,-140
1306,20,-140
1307,5,80
1308,20,-125
1309,20,-65
1310,20,-140
1311,20,-140
1312,20,-110
1313,20,-125
1314,20,-140
1315,20,-140
1316,20,-155
1317,20,-140
1318,20,-95
1319,20,-140
1320,20,-125
1321,20,-125
1322,20,-110
1323,20,-110
1324,20,-170
1325,20,-140
1326,20,-155
1327,20,-110
1328,20,-125
1329,20,-125
1330,20,-125
1331,20,-140
1332,20,-125
1333,20,-140
1334,20,-140
1335,20,-155
1336,20,-125
1337,20,-140
1338,20,-125
1339,20,-80
1340,20,-155
1341,20,-110
1342,20,-170
1343,20,-125
1344,20,-185
1345,20,-170
1346,20,-95
1347,16,30
1348,20,-140
1349,20,-125
1350,20,-125
1351,20,-155
1352,9,85
1353,20,-155
1354,20,-155
1355,20,-95
1356,20,-125
1357,20,-140
1358,20,-140
1359,20,-140
1360,20,-155
1361,20,-170
1362,20,-125
1363,20,-125
1364,20,-155
1365,20,-140
1366,20,-95
1367,20,-110
1368,20,-140
1369,20,-110
1370,20,-155
1371,20,-155
